NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
1,1104,1713A46TEST0000000000013448,Keruing,15.4,65,52,58,4.07,,0
2,827,1713A46TEST0000000000013171,Keruing,14,78,60,69,5.24,,0
3,304,1713A46TEST0000000000012648,Meranti Merah,19.9,59,41,50,3.91,,0
4,1162,1713A46TEST0000000000013506,Meranti Merah,16.9,74,58,66,5.78,,0
5,1429,1713A46TEST0000000000013773,Meranti Merah,15.9,67,50,58,4.2,,0
6,2244,1713A46TEST0000000000014588,Meranti Merah,10,62,50,56,2.46,,0
7,2059,1713A46TEST0000000000014403,Benuas,13.6,104,87,95,8.72,26,9.5
8,2953,1713A46TEST0000000000015297,Meranti Merah,13.7,75,61,68,4.98,,0
9,2044,1713A46TEST0000000000014388,Meranti Merah,14.6,80,62,71,5.78,,0
10,3342,1713A46TEST0000000000015686,Meranti Kuning,15.8,66,51,58,4.17,,0
11,443,1713A46TEST0000000000012787,Keruing,13.1,94,72,83,7.09,,0
12,3107,1713A46TEST0000000000015451,Meranti Batu,13.2,61,45,53,2.91,,0
13,310,1713A46TEST0000000000012654,Meranti Merah,15.3,78,57,67,5.39,,0
14,1754,1713A46TEST0000000000014098,Keruing,19.2,88,67,77,8.94,,0
15,1226,1713A46TEST0000000000013570,Meranti Merah,15.2,60,50,55,3.61,,0
16,2139,1713A46TEST0000000000014483,Benuas,16.8,65,55,60,4.75,,0
17,2593,1713A46TEST0000000000014937,Meranti Merah,22.2,65,51,58,5.87,,0
18,354,1713A46TEST0000000000012698,Benuas,16.4,56,42,49,3.09,,0
19,3116,1713A46TEST0000000000015460,Keruing,17.2,53,42,47,2.98,,0
20,2120,1713A46TEST0000000000014464,Keruing,17.4,64,43,53,3.84,,0
21,1225,1713A46TEST0000000000013569,Meranti Merah,20,91,63,77,9.31,,0
22,554,1713A46TEST0000000000012898,Keruing,18,60,41,50,3.53,,0
23,1369,1713A46TEST0000000000013713,Meranti Merah,14.1,66,49,57,3.6,,0
24,1940,1713A46TEST0000000000014284,Meranti Batu,13.5,70,53,61,3.64,15,7.7
25,2895,1713A46TEST0000000000015239,Meranti Batu,15,62,45,53,3.31,,0
26,3145,1713A46TEST0000000000015489,Benuas,17.5,80,61,70,6.23,17,7.5
27,2238,1713A46TEST0000000000014582,Meranti Merah,10.4,87,74,80,5.05,13,3.4
28,853,1713A46TEST0000000000013197,Meranti Merah,14.8,60,46,53,3.27,,0
29,2684,1713A46TEST0000000000015028,Meranti Merah,14.1,75,62,68,5.12,,0
30,603,1713A46TEST0000000000012947,Benuas,13.6,52,41,46,2.12,10,6
31,3354,1713A46TEST0000000000015698,Keruing,22,64,49,56,5.42,,0
