noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A5039,1702A10WIKI0000000000257701,MR,10.7,110,100,105,9.27,0,0
A8277,1702A10WIKI0000000000248315,KR,13.2,52,40,46,2.19,0,0
A8287,1702A10WIKI0000000000248650,KR,14.3,56,51,53,3.15,0,0
A8486,1702A10WIKI0000000000248235,KR,23,80,52,66,7.87,0,0
A8619,1702A10WIKI0000000000254243,MR,12.7,56,42,49,2.39,0,0
A8714,1702A10WIKI0000000000238470,KR,20.1,58,42,50,3.95,0,0
A8908,1702A10WIKI0000000000247739,MR,16.4,56,40,48,2.97,0,0
A9146,1702A10WIKI0000000000254474,MR,16.6,60,48,54,3.8,0,0
A9405,1702A10WIKI0000000000248962,BNS,14.4,63,51,57,3.1,20,15.7
A9648,1702A10WIKI0000000000238730,MR,17.6,55,44,49,3.32,0,0
B112,,KR,19,58,40,49,3.39,10,5.3
B127,,MR,14.7,89,79,84,8.15,0,0
B164,,MR,15.3,66,53,59,4.18,0,0
B180,,KR,18.7,70,50,60,5.29,0,0
B181,,BNS,13.8,68,56,62,4,11,4
B182,,BNS,14.5,59,46,52,3.08,0,0
B183,,KR,20.2,76,56,66,6.91,0,0
B184,,KR,16,67,52,59,4.37,0,0
B185,,KR,16.4,55,41,48,2.97,0,0
B186,,KR,14,51,40,45,2.23,0,0
B187,,KR,12.9,69,51,60,3.65,0,0
B188,,MR,15.6,55,47,51,3.19,0,0
B189,,KR,16,52,40,46,2.66,0,0
B190,,KR,14.9,51,40,45,2.37,0,0
B191,,KR,17.6,61,45,53,3.88,0,0
B192,,KR,10.8,63,56,59,2.38,23,19.3
B193,,KR,12,50,40,45,1.91,0,0
B194,,KR,15.5,54,41,47,2.69,0,0
B195,,BNS,17.4,63,48,55,3.96,10,4.2
B196,,KR,16.8,59,43,51,3.43,0,0
B197,,KR,12.3,55,44,49,2.32,0,0
B198,,KR,20,72,50,61,5.84,0,0
B199,,MB,15.5,67,59,63,4.83,0,0
B200,,BNS,17,57,54,55,4.04,0,0
B201,,MR,12.3,55,50,52,2.61,0,0
