noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A1,MR,18.1,88,77,82,9.56,0,0
A2,MR,15.1,58,46,52,3.21,0,0
A3,BNS,16.2,83,69,76,6.76,19,8
A4,MR,18,64,52,58,4.76,0,0
A5,BNS,18.8,86,66,76,8.05,16,5.6
A6,BNS,14.8,56,46,51,3.02,0,0
A7,MR,19.8,72,55,63,5.89,12,4.6
A8,MB,13.5,56,50,53,2.98,0,0
A9,MR,17.7,66,48,57,4.52,0,0
A10,MR,19.7,59,49,54,4.51,0,0
A11,KR,16.4,60,39,49,3.09,0,0
A12,MB,13.3,70,57,63,4.15,0,0
A13,MR,17,66,51,58,4.49,0,0
A14,KR,17.8,66,46,56,4.38,0,0
A15,KR,13.5,55,45,50,2.65,0,0
A16,MR,14.2,58,49,53,3.13,0,0
A17,MB,18.2,92,86,89,11.32,0,0
A18,MR,15.6,67,53,60,4.41,0,0
A19,MR,16,60,46,53,3.53,0,0
A20,MR,10.6,65,54,59,2.79,10,3.7
A21,BNS,12.3,81,69,75,5.43,0,0
A22,BNS,10.6,90,81,85,6.01,0,0
A23,KR,19,90,66,78,9.08,0,0
A24,KR,17.4,60,43,51,3.55,0,0
A25,KR,20.9,55,42,48,3.78,0,0
A26,KR,19.5,57,38,47,3.38,0,0
A27,MR,8.8,74,64,69,3.29,0,0
A28,BNS,20,73,53,63,6.23,0,0
A29,MR,17.7,62,47,54,4.05,0,0
A30,MR,17.7,63,51,57,4.52,0,0
A31,MR,11.2,52,43,47,1.94,0,0
A32,MR,19.1,59,42,50,3.75,0,0
A33,MR,18.7,88,66,77,8.71,0,0
A34,BNS,15.4,69,54,61,4.5,0,0
A35,MR,18.3,77,64,70,7.04,0,0
A36,MR,17.2,58,44,51,3.51,0,0
A37,MR,16.8,71,44,57,4.29,0,0
A38,MR,11,56,43,49,2.07,0,0
A39,KR,12.9,88,85,86,7.49,0,0
A40,KR,18.6,75,54,64,5.98,0,0
A41,KR,12.8,88,66,77,5.96,0,0
A42,MRS,10.1,77,75,76,4.58,0,0
A43,MRS,11.5,88,76,82,6.07,0,0
A44,MR,13.9,56,54,55,3.3,0,0
A45,MR,19.3,56,42,49,3.64,0,0
A46,MR,19.2,67,49,58,5.07,0,0
A47,BNS,18.5,54,40,47,3.21,0,0
A48,KR,15.7,74,57,65,5.21,0,0
A49,BNS,10.1,90,81,85,5.1,25,11
A50,KR,18.7,86,67,76,8.48,0,0
A51,BNS,18.6,75,59,67,5.4,25,17.7
A52,KR,19.8,63,50,56,4.88,0,0
A53,MR,16.8,65,50,57,4.29,0,0
A54,MR,18.6,63,50,56,4.58,0,0
A55,MR,13.1,65,51,58,3.46,0,0
A56,MR,13,77,66,71,5.15,0,0
A57,MR,17.5,75,64,69,6.54,0,0
A58,MR,14.8,107,91,99,11.11,14,2.5
