noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A3943,RC,16.2,67,56,61,4.73,0,0
A4930,MR,9.1,55,50,52,1.93,0,0
A5039,MR,10.7,110,100,105,9.27,0,0
A5076,MB,9.2,65,52,58,2.19,16,9.7
A5547,MR,21,88,72,80,10.56,0,0
A5548,MB,16.8,66,46,56,3.97,10,4.1
A5549,MR,15.2,67,51,59,4.16,0,0
A5550,MR,13.3,65,55,60,3.76,0,0
A5551,MR,15.6,80,65,72,6.35,0,0
A5552,MB,18.3,74,56,65,6.07,0,0
A5553,MR,19.3,79,56,67,6.8,0,0
A5554,MB,19.1,68,49,58,5.05,0,0
A5555,MR,20.5,73,59,66,7.01,0,0
A5556,MB,19,59,40,49,3.58,0,0
A5557,MB,17,58,45,51,3.47,0,0
A5558,MR,14.1,83,67,75,5.48,23,12
A5570,BNS,10.1,60,54,57,2.58,0,0
A5571,MB,13.9,70,56,63,4.19,10,3.2
A5572,MR,21.4,69,47,58,5.65,0,0
A5573,KR,20.1,74,46,60,5.68,0,0
A5574,KR,19.3,60,41,50,3.79,0,0
A5575,KR,21.8,66,47,56,5.37,0,0
A5576,KR,17.3,61,41,51,3.53,0,0
A5577,KR,19.7,61,42,51,4.02,0,0
A5578,KR,13,78,60,69,4.86,0,0
A5579,MR,10.7,57,50,53,2.12,15,10.2
A5580,MR,13.8,54,45,49,2.6,0,0
A5581,MR,19.8,73,51,62,5.98,0,0
A5851,MR,17.8,68,52,60,5.03,0,0
A5899,KR,21.3,61,40,50,4.18,0,0
A5985,KR,8.5,88,85,86,4.4,25,10.8
A6169,MR,17.2,72,57,64,5.53,0,0
A6170,KR,20.4,60,44,52,4.33,0,0
A6172,KR,20.7,71,47,59,5.66,0,0
A6204,MR,17.7,82,66,74,7.61,0,0
A6205,MR,17.3,65,55,60,4.89,0,0
A6206,MR,21.8,59,42,50,4.28,0,0
A6207,MR,14.8,71,61,66,4.64,17,8.4
A6208,MB,13.7,73,62,67,4.83,0,0
A6209,MR,12.6,65,54,59,3.44,0,0
A6210,MR,16.1,61,51,56,3.97,0,0
A6211,MB,20.6,72,61,66,6.14,21,12.9
A6212,BNS,17,73,70,71,6.73,0,0
A6213,MR,21.8,60,48,54,4.99,0,0
A6214,MB,19.5,73,55,64,6.27,0,0
A6215,KR,18.3,70,56,63,5.7,0,0
A6216,KR,18.4,88,67,77,8.57,0,0
A6217,KR,19.1,67,46,56,4.7,0,0
A6218,KR,15.5,92,82,87,8.47,22,8.1
A6219,KR,21.4,88,58,73,8.96,0,0
A6220,KR,22.5,64,54,59,6.15,0,0
A6221,KR,19.2,66,49,57,4.9,0,0
A6222,KR,15.8,90,71,80,7.94,0,0
A6226,KR,19.8,76,56,66,6.77,0,0
A6227,KR,22.3,75,52,63,6.95,0,0
A6228,MR,14.5,79,65,72,5.9,0,0
A6229,MR,12,71,58,64,3.86,0,0
A6230,MR,10.8,90,71,80,5.12,17,5.7
A6231,MR,11.4,71,70,70,4.39,0,0
A6232,MR,14,70,55,62,4.23,0,0
A6235,MR,15.4,64,51,57,3.93,0,0
A6236,BNS,12,103,85,94,7.52,26,9.7
A6237,KR,13.2,60,53,56,3.25,0,0
A6238,KR,11,71,60,65,3.65,0,0
A6239,BNS,7.6,110,104,107,6.83,0,0
A6240,MR,19.9,64,49,56,4.9,0,0
A6241,MR,22.9,64,49,56,5.64,0,0
A6242,MR,21.3,77,55,66,7.29,0,0
A6243,BNS,19.1,73,56,64,5.59,17,9
A6244,KR,19.1,67,45,56,4.7,0,0
A6245,KR,16.9,61,48,54,3.87,0,0
A6246,MR,10.8,97,82,89,6.72,0,0
