posisi,kelas_diameter,jenis,btg,volume_m3,mutasi_terakhir_posisi,mutasi_terakhir_global
BLOK,40-49,Benuas,15,39.77,08-06-2026,09-06-2026
BLOK,40-49,Keruing,67,189.46,08-06-2026,09-06-2026
BLOK,40-49,Meranti,5,15.17,25-05-2026,09-06-2026
BLOK,50-59,Benuas,46,157.44,08-06-2026,09-06-2026
BLOK,50-59,Keruing,150,607.48,08-06-2026,09-06-2026
BLOK,50-59,Meranti,103,397.44,08-06-2026,09-06-2026
BLOK,50-59,Meranti Batu,6,20.87,08-06-2026,09-06-2026
BLOK,50-59,Mersawa,5,19.18,25-05-2026,09-06-2026
BLOK,60-UP,Benuas,30,146.53,08-06-2026,09-06-2026
BLOK,60-UP,Keruing,101,589.5,08-06-2026,09-06-2026
BLOK,60-UP,Meranti,64,363.01,08-06-2026,09-06-2026
BLOK,60-UP,Meranti Batu,6,30.75,08-06-2026,09-06-2026
BLOK,60-UP,Mersawa,2,13.66,25-05-2026,09-06-2026
BLOK,TOTAL,,600,2590.26,08-06-2026,09-06-2026

LOADING,40-49,Benuas,32,83.83,09-06-2026,09-06-2026
LOADING,40-49,Keruing,61,177.14,09-06-2026,09-06-2026
LOADING,40-49,Meranti,49,139.79,09-06-2026,09-06-2026
LOADING,40-49,Meranti Batu,11,28.75,09-06-2026,09-06-2026
LOADING,40-49,Mersawa,2,6.07,09-06-2026,09-06-2026
LOADING,50-59,Benuas,53,182.32,09-06-2026,09-06-2026
LOADING,50-59,Keruing,149,629.43,09-06-2026,09-06-2026
LOADING,50-59,Meranti,258,957.16,09-06-2026,09-06-2026
LOADING,50-59,Meranti Batu,18,64.34,09-06-2026,09-06-2026
LOADING,50-59,Mersawa,4,16.06,06-06-2026,09-06-2026
LOADING,60-UP,Benuas,39,247.07,09-06-2026,09-06-2026
LOADING,60-UP,Keruing,85,540.88,09-06-2026,09-06-2026
LOADING,60-UP,Meranti,139,822.03,09-06-2026,09-06-2026
LOADING,60-UP,Meranti Batu,20,112.03,09-06-2026,09-06-2026
LOADING,60-UP,Mersawa,4,17.65,09-06-2026,09-06-2026
LOADING,TOTAL,,924,4024.55,09-06-2026,09-06-2026

LP LUWE,40-49,Meranti,2,6.35,08-06-2026,09-06-2026
LP LUWE,50-59,Meranti,10,39.11,08-06-2026,09-06-2026
LP LUWE,50-59,Meranti Batu,1,1.98,07-06-2026,09-06-2026
LP LUWE,60-UP,Meranti,5,29.26,07-06-2026,09-06-2026
LP LUWE,60-UP,Meranti Batu,1,5.12,08-06-2026,09-06-2026
LP LUWE,TOTAL,,19,81.82,08-06-2026,09-06-2026

TPK 42,40-49,Meranti,4,11.55,29-04-2026,09-06-2026
TPK 42,50-59,Benuas,2,5.28,25-03-2026,09-06-2026
TPK 42,50-59,Meranti,2,7.75,29-04-2026,09-06-2026
TPK 42,60-UP,Keruing,1,7.4,11-05-2026,09-06-2026
TPK 42,60-UP,Meranti,2,13.29,29-04-2026,09-06-2026
TPK 42,TOTAL,,11,45.27,11-05-2026,09-06-2026

TPK 46,40-49,Keruing,5,12.9,24-05-2026,09-06-2026
TPK 46,40-49,Meranti,1,2.85,07-02-2026,09-06-2026
TPK 46,50-59,Benuas,7,23.45,08-06-2026,09-06-2026
TPK 46,50-59,Keruing,13,50.93,08-06-2026,09-06-2026
TPK 46,50-59,Meranti,18,70.37,08-06-2026,09-06-2026
TPK 46,50-59,Meranti Batu,3,10.43,08-06-2026,09-06-2026
TPK 46,60-UP,Benuas,5,25.81,24-05-2026,09-06-2026
TPK 46,60-UP,Keruing,11,75.22,08-06-2026,09-06-2026
TPK 46,60-UP,Meranti,21,128.05,08-06-2026,09-06-2026
TPK 46,60-UP,Meranti Batu,3,15.44,08-06-2026,09-06-2026
TPK 46,TOTAL,,87,415.45,08-06-2026,09-06-2026

TPK KM 28,40-49,Keruing,1,3.68,18-05-2026,09-06-2026
TPK KM 28,50-59,Benuas,1,3.18,18-05-2026,09-06-2026
TPK KM 28,50-59,Keruing,3,13.18,18-05-2026,09-06-2026
TPK KM 28,50-59,Meranti,2,8.39,18-05-2026,09-06-2026
TPK KM 28,60-UP,Benuas,3,18.59,18-05-2026,09-06-2026
TPK KM 28,60-UP,Meranti Batu,1,3.56,18-05-2026,09-06-2026
TPK KM 28,TOTAL,,11,50.58,18-05-2026,09-06-2026

GLOBAL,TOTAL,,1652,7207.93,09-06-2026,09-06-2026
