posisi,kelas_diameter,jenis,btg,volume_m3,mutasi_terakhir_posisi,mutasi_terakhir_global
BLOK,40-49,Benuas,9,21.99,09-07-2026,10-07-2026
BLOK,40-49,Keruing,31,85.63,09-07-2026,10-07-2026
BLOK,40-49,Meranti,10,28.45,25-06-2026,10-07-2026
BLOK,40-49,Mersawa,1,3.11,23-06-2026,10-07-2026
BLOK,50-59,Benuas,14,41.18,09-07-2026,10-07-2026
BLOK,50-59,Keruing,68,285.46,10-07-2026,10-07-2026
BLOK,50-59,Meranti,50,184.23,10-07-2026,10-07-2026
BLOK,50-59,Meranti Batu,2,8.18,09-07-2026,10-07-2026
BLOK,50-59,Mersawa,4,17.57,10-07-2026,10-07-2026
BLOK,60-UP,Benuas,11,75.22,09-07-2026,10-07-2026
BLOK,60-UP,Keruing,22,147.06,10-07-2026,10-07-2026
BLOK,60-UP,Meranti,22,135.77,10-07-2026,10-07-2026
BLOK,60-UP,Meranti Batu,5,24.21,25-06-2026,10-07-2026
BLOK,60-UP,Mersawa,1,4.38,09-07-2026,10-07-2026
BLOK,TOTAL,,250,1062.44,10-07-2026,10-07-2026

LP LUWE,40-49,Benuas,20,53.24,05-07-2026,10-07-2026
LP LUWE,40-49,Keruing,100,287.76,06-07-2026,10-07-2026
LP LUWE,40-49,Meranti,23,72.43,06-07-2026,10-07-2026
LP LUWE,40-49,Mersawa,1,2.35,05-07-2026,10-07-2026
LP LUWE,50-59,Benuas,75,269.22,06-07-2026,10-07-2026
LP LUWE,50-59,Keruing,218,917.61,06-07-2026,10-07-2026
LP LUWE,50-59,Meranti,149,604.22,06-07-2026,10-07-2026
LP LUWE,50-59,Meranti Batu,12,39.23,06-07-2026,10-07-2026
LP LUWE,50-59,Mersawa,5,19.42,05-07-2026,10-07-2026
LP LUWE,60-UP,Benuas,40,224.39,06-07-2026,10-07-2026
LP LUWE,60-UP,Keruing,133,814.98,06-07-2026,10-07-2026
LP LUWE,60-UP,Meranti,102,628.97,06-07-2026,10-07-2026
LP LUWE,60-UP,Meranti Batu,13,71.9,06-07-2026,10-07-2026
LP LUWE,60-UP,Mersawa,3,22.44,02-07-2026,10-07-2026
LP LUWE,TOTAL,,894,4028.16,06-07-2026,10-07-2026

TPK 42,40-49,Benuas,14,33.56,10-07-2026,10-07-2026
TPK 42,40-49,Keruing,68,200.82,10-07-2026,10-07-2026
TPK 42,40-49,Meranti,14,41.9,10-07-2026,10-07-2026
TPK 42,40-49,Meranti Batu,2,6.9,09-07-2026,10-07-2026
TPK 42,50-59,Benuas,29,103.52,10-07-2026,10-07-2026
TPK 42,50-59,Keruing,127,557.47,10-07-2026,10-07-2026
TPK 42,50-59,Meranti,84,330.72,10-07-2026,10-07-2026
TPK 42,50-59,Meranti Batu,8,33.4,10-07-2026,10-07-2026
TPK 42,50-59,Mersawa,2,8.71,10-07-2026,10-07-2026
TPK 42,60-UP,Benuas,13,68.31,09-07-2026,10-07-2026
TPK 42,60-UP,Keruing,93,614.8,10-07-2026,10-07-2026
TPK 42,60-UP,Meranti,69,460.33,10-07-2026,10-07-2026
TPK 42,60-UP,Meranti Batu,7,39.74,10-07-2026,10-07-2026
TPK 42,60-UP,Mersawa,1,6.66,07-07-2026,10-07-2026
TPK 42,TOTAL,,531,2506.84,10-07-2026,10-07-2026

GLOBAL,TOTAL,,1675,7597.44,10-07-2026,10-07-2026
