posisi,kelas_diameter,jenis,btg,volume_m3,mutasi_terakhir_posisi,mutasi_terakhir_global
BLOK,20-39,KR,1,1.98,30-07-2026,15-09-2026
BLOK,20-39,M,1,1.91,30-07-2026,15-09-2026
BLOK,20-39,MB,1,1.47,30-07-2026,15-09-2026
BLOK,20-39,SB,1,0.65,28-08-2026,15-09-2026
BLOK,40-49,0,5,2.95,11-09-2026,15-09-2026
BLOK,40-49,BNS,2,6.83,30-07-2026,15-09-2026
BLOK,40-49,M,1,2.78,30-07-2026,15-09-2026
BLOK,40-49,MB,1,1.89,30-07-2026,15-09-2026
BLOK,40-49,MR,2,1.11,28-08-2026,15-09-2026
BLOK,40-49,RC,2,6.41,01-08-2026,15-09-2026
BLOK,50-59,0,2,1.9,,15-09-2026
BLOK,50-59,BNS,1,2.87,30-07-2026,15-09-2026
BLOK,50-59,M,1,4.67,01-08-2026,15-09-2026
BLOK,50-59,MB,1,3.89,01-08-2026,15-09-2026
BLOK,50-59,MR,3,2.83,28-08-2026,15-09-2026
BLOK,50-59,RC,3,5.92,14-08-2026,15-09-2026
BLOK,60-UP,0,6,8.53,15-09-2026,15-09-2026
BLOK,60-UP,BNS,4,17.27,30-07-2026,15-09-2026
BLOK,60-UP,KR,3,7.37,28-08-2026,15-09-2026
BLOK,60-UP,MB,2,7.58,27-08-2026,15-09-2026
BLOK,TOTAL,,43,90.81,15-09-2026,15-09-2026

TPK BANSAW,20-39,0,17,6.15,11-09-2026,15-09-2026
TPK BANSAW,20-39,BK,3,1.02,28-08-2026,15-09-2026
TPK BANSAW,20-39,BNS,1,0.66,01-09-2026,15-09-2026
TPK BANSAW,20-39,KR,6,2.57,08-09-2026,15-09-2026
TPK BANSAW,20-39,M,15,5.47,28-08-2026,15-09-2026
TPK BANSAW,20-39,MB,6,2.57,29-08-2026,15-09-2026
TPK BANSAW,20-39,MM,1,0.59,12-08-2026,15-09-2026
TPK BANSAW,20-39,MR,15,6.03,29-08-2026,15-09-2026
TPK BANSAW,20-39,MS,1,0.42,29-08-2026,15-09-2026
TPK BANSAW,20-39,NYT,4,1.47,27-08-2026,15-09-2026
TPK BANSAW,20-39,RC,24,9.18,29-08-2026,15-09-2026
TPK BANSAW,20-39,SB,4,1.13,29-08-2026,15-09-2026
TPK BANSAW,40-49,0,49,32.37,15-09-2026,15-09-2026
TPK BANSAW,40-49,BK,1,0.67,28-08-2026,15-09-2026
TPK BANSAW,40-49,KPS,4,2.6,29-08-2026,15-09-2026
TPK BANSAW,40-49,KR,12,8.53,01-09-2026,15-09-2026
TPK BANSAW,40-49,LBN,1,1.92,28-08-2026,15-09-2026
TPK BANSAW,40-49,M,16,10.65,28-08-2026,15-09-2026
TPK BANSAW,40-49,MB,6,4.59,29-08-2026,15-09-2026
TPK BANSAW,40-49,MM,1,0.85,12-08-2026,15-09-2026
TPK BANSAW,40-49,MP,2,1.22,27-08-2026,15-09-2026
TPK BANSAW,40-49,MR,12,7.73,29-08-2026,15-09-2026
TPK BANSAW,40-49,MS,2,1.14,29-08-2026,15-09-2026
TPK BANSAW,40-49,NYT,5,2.93,26-08-2026,15-09-2026
TPK BANSAW,40-49,RC,36,22.3,07-09-2026,15-09-2026
TPK BANSAW,40-49,SB,7,4.89,08-09-2026,15-09-2026
TPK BANSAW,50-59,0,58,55.78,15-09-2026,15-09-2026
TPK BANSAW,50-59,BNS,1,0.9,01-02-2025,15-09-2026
TPK BANSAW,50-59,KR,8,8.66,29-08-2026,15-09-2026
TPK BANSAW,50-59,M,5,4.92,08-09-2026,15-09-2026
TPK BANSAW,50-59,MB,16,16.11,29-08-2026,15-09-2026
TPK BANSAW,50-59,MR,9,7.86,07-09-2026,15-09-2026
TPK BANSAW,50-59,MS,1,0.6,14-09-2026,15-09-2026
TPK BANSAW,50-59,RC,14,14.05,07-09-2026,15-09-2026
TPK BANSAW,50-59,SB,2,2.25,07-09-2026,15-09-2026
TPK BANSAW,60-UP,0,71,121.89,15-09-2026,15-09-2026
TPK BANSAW,60-UP,BK,5,12.59,26-08-2026,15-09-2026
TPK BANSAW,60-UP,BNS,3,4.19,01-09-2026,15-09-2026
TPK BANSAW,60-UP,KR,14,28.54,29-08-2026,15-09-2026
TPK BANSAW,60-UP,MB,11,27.64,07-09-2026,15-09-2026
TPK BANSAW,60-UP,MM,2,5.6,25-08-2026,15-09-2026
TPK BANSAW,60-UP,MR,16,25.89,08-09-2026,15-09-2026
TPK BANSAW,60-UP,MS,7,9.75,27-08-2026,15-09-2026
TPK BANSAW,60-UP,SB,15,30.5,08-09-2026,15-09-2026
TPK BANSAW,TOTAL,,509,517.37,15-09-2026,15-09-2026

GLOBAL,TOTAL,,552,608.18,15-09-2026,15-09-2026
