posisi,kelas_diameter,jenis,btg,volume_m3,mutasi_terakhir_posisi,mutasi_terakhir_global
BLOK,0,Keruing,1,1.74,24-05-2026,17-08-2026
BLOK,40-49,Benuas,4,11.07,22-07-2026,17-08-2026
BLOK,40-49,Keruing,45,130.32,22-07-2026,17-08-2026
BLOK,50-59,Benuas,24,81.06,22-07-2026,17-08-2026
BLOK,50-59,Keruing,127,532.37,22-07-2026,17-08-2026
BLOK,50-59,Meranti,48,209.31,22-07-2026,17-08-2026
BLOK,50-59,Meranti Batu,5,17.08,19-07-2026,17-08-2026
BLOK,50-59,Mersawa,2,9.08,22-07-2026,17-08-2026
BLOK,60-UP,Benuas,19,92.57,22-07-2026,17-08-2026
BLOK,60-UP,Keruing,69,410.16,22-07-2026,17-08-2026
BLOK,60-UP,Meranti,64,465.59,22-07-2026,17-08-2026
BLOK,60-UP,Meranti Batu,4,15.84,22-07-2026,17-08-2026
BLOK,60-UP,Mersawa,4,22.94,22-07-2026,17-08-2026
BLOK,TOTAL,,416,1999.13,22-07-2026,17-08-2026

LP LUWE,40-49,Benuas,42,104.07,19-07-2026,17-08-2026
LP LUWE,40-49,Keruing,200,562.53,17-08-2026,17-08-2026
LP LUWE,40-49,Meranti,44,131.39,20-07-2026,17-08-2026
LP LUWE,40-49,Meranti Batu,2,6.62,17-07-2026,17-08-2026
LP LUWE,40-49,Mersawa,2,5.23,12-07-2026,17-08-2026
LP LUWE,50-59,Benuas,117,398.08,23-07-2026,17-08-2026
LP LUWE,50-59,Keruing,418,1708.57,17-08-2026,17-08-2026
LP LUWE,50-59,Meranti,285,1087.01,17-08-2026,17-08-2026
LP LUWE,50-59,Meranti Batu,22,77.64,19-07-2026,17-08-2026
LP LUWE,50-59,Mersawa,12,48.01,23-07-2026,17-08-2026
LP LUWE,60-UP,Benuas,65,353.27,23-07-2026,17-08-2026
LP LUWE,60-UP,Keruing,255,1536.87,17-08-2026,17-08-2026
LP LUWE,60-UP,Meranti,213,1296.57,17-08-2026,17-08-2026
LP LUWE,60-UP,Meranti Batu,26,133.46,23-07-2026,17-08-2026
LP LUWE,60-UP,Mersawa,5,31.55,17-07-2026,17-08-2026
LP LUWE,TOTAL,,1708,7480.87,17-08-2026,17-08-2026

TPK 42,40-49,Benuas,4,9.76,24-07-2026,17-08-2026
TPK 42,40-49,Keruing,8,24.57,24-07-2026,17-08-2026
TPK 42,40-49,Meranti,3,8.58,27-06-2026,17-08-2026
TPK 42,50-59,Benuas,15,54.25,24-07-2026,17-08-2026
TPK 42,50-59,Keruing,53,233.27,24-07-2026,17-08-2026
TPK 42,50-59,Meranti,28,106.14,24-07-2026,17-08-2026
TPK 42,50-59,Meranti Batu,1,3.59,24-07-2026,17-08-2026
TPK 42,60-UP,Benuas,3,17.67,24-07-2026,17-08-2026
TPK 42,60-UP,Keruing,31,199.63,24-07-2026,17-08-2026
TPK 42,60-UP,Meranti,29,188.42,24-07-2026,17-08-2026
TPK 42,60-UP,Meranti Batu,2,10.31,24-07-2026,17-08-2026
TPK 42,TOTAL,,177,856.19,24-07-2026,17-08-2026

GLOBAL,TOTAL,,2301,10336.19,17-08-2026,17-08-2026
